#Selection names:,Selection 1
#Areas (µm^2): 1873310.0
Selection,X,Y
Selection 1,2492.397933296977,5443.343307365899
Selection 1,2274.457600561772,5296.703581889751
Selection 1,2269.925353154323,5294.019681190369
Selection 1,2183.913931684502,5279.359506615445
Selection 1,2037.3628255710707,5246.9374797705495
Selection 1,1863.2004580172963,5210.033845154043
Selection 1,1814.7763062477834,5185.207763684762
Selection 1,1786.0636327279765,5160.926058300724
Selection 1,1766.6813121112111,5192.854348696206
Selection 1,1739.6017668471643,5173.51000780632
Selection 1,1717.8393833460414,5096.157964064694
Selection 1,1674.7450532484147,5042.302711351621
Selection 1,1630.0049349860728,5015.362425086123
Selection 1,1535.9164916001855,4963.1782803556835
Selection 1,1499.4306339793395,4889.928047116887
Selection 1,1466.882008044852,4814.006573087667
Selection 1,1381.6301811125902,4697.029014303275
Selection 1,1351.2337397011918,4612.283583729389
Selection 1,1333.7504054283297,4556.567324399289
Selection 1,1300.5941038637934,4474.379195435191
Selection 1,1303.8477004663462,4416.827249305988
Selection 1,1324.2554737088176,4363.984789309661
Selection 1,1364.6912229249806,4286.366887479889
Selection 1,1424.66121166542,4253.8815610901975
Selection 1,1519.7624477680554,4160.932509510653
Selection 1,1598.9501783087878,4086.23904665049
Selection 1,1769.5677713539446,4049.499990850456
Selection 1,1910.7510760686134,4161.312306779433
Selection 1,1939.4764094973782,4217.42102328727
Selection 1,1992.0276915876384,4248.665678598943
Selection 1,2066.2780576342243,4300.875143147305
Selection 1,2163.632757531624,4383.6582878324925
Selection 1,2257.518642374161,4445.7045016422635
Selection 1,2310.3104627346497,4468.9480944916295
Selection 1,2376.4331672293342,4492.799362971045
Selection 1,2438.3654418584715,4492.799362971045
Selection 1,2548.0508930822775,4523.702200740819
Selection 1,2601.387089528018,4541.666611554137
Selection 1,2700.374917681174,4610.599815837794
Selection 1,2754.4833685734343,4642.414167052639
Selection 1,2865.979186778429,4671.27875947996
Selection 1,2956.9153128334374,4669.164554683748
Selection 1,3037.5715928134537,4645.566484383518
Selection 1,3099.833025075536,4634.565023497844
Selection 1,3190.7058515857484,4602.421514650055
Selection 1,3292.5801389816347,4568.936055452576
Selection 1,3456.450000551457,4575.873685562298
Selection 1,3512.862554874319,4598.965359504152
Selection 1,3559.843477022466,4648.718801714397
Selection 1,3565.6796950527264,4745.719024160935
Selection 1,3584.910096761978,4832.667278893749
Selection 1,3597.92448317219,4892.7891865417005
Selection 1,3597.92448317219,5008.158936888253
Selection 1,3564.945420333083,5186.499074398613
Selection 1,3529.573634700659,5248.785826478615
Selection 1,3481.947057195586,5277.789677904487
Selection 1,3440.612454443311,5311.616954643865
Selection 1,3358.47496511505,5330.277660449949
Selection 1,3271.7672486524652,5340.443567344309
Selection 1,3203.3024610003013,5362.092011664795
Selection 1,3130.242126395894,5398.767767920031
Selection 1,3073.6396734386412,5424.948459647965
Selection 1,3024.4812469494873,5437.785607332746
Selection 1,2966.321625190233,5440.596107121722
Selection 1,2872.271161531224,5446.07784770112
Selection 1,2801.1604529065576,5445.153674347088
Selection 1,2742.798272603955,5440.836645391949
Selection 1,2672.966214784181,5429.012290423917
Selection 1,2608.5652579079706,5424.214184928324
Selection 1,2548.2154718987504,5431.531612306828
Selection 1,2492.397933296977,5443.343307365899
